TF,TF_ori_cor,TF_imputed_cor,TF_ori_express,TF_imputed_express
AT4G36620,0.4218874152318242,0.5595559260935856,3.116195070031817,2.9223096912259248
AT5G10510,0.14466007253060104,0.2884888917077689,0.6386735756107565,0.5377857066381848
AT3G46590,0.328460932430236,0.5223979797419688,0.5347078605211575,0.4465684775897519
AT5G65510,0.14762461930601417,0.29756716188857363,1.2731940498327907,1.2503382051706358
AT1G63030,0.18055485477001781,0.3091371342957147,1.901545046210286,1.712731933306681
AT4G18880,0.1827025765844343,0.2922984725256193,1.077664744515544,1.0127382044227047
AT5G59430,0.40894742629520797,0.5866160764860587,0.6229512430393565,0.531516760685085
AT4G28500,0.1203892683104652,0.25266577720883526,0.6664608172831957,0.5738639220082205
AT1G13450,0.18181380581829273,0.3182839514896877,1.2310592698853167,0.9859951607888018
AT1G19040,0.07590651165534937,0.1665851805876791,0.762617657512558,0.6882047955300709
AT4G18450,0.24396500265029467,0.3618029746416497,0.8692354947115581,0.7602241002797511
AT5G13910,0.224630766782893,0.3593958822925272,1.0027924421315473,0.8963426124392054
AT1G76880,0.21871447603547106,0.36346122644985257,1.2774862144321026,1.1951379689074584
AT2G45680,0.18308242550528858,0.3175927697346944,1.041198276625353,1.0024952959133613
AT2G42430,0.1830056958207719,0.34856159834048583,0.8469751371931719,0.7081482228307652
AT3G24050,0.16696562191206898,0.2737739177400798,1.307689927294864,1.1188016964353835
AT5G47230,0.20538384590247105,0.32187304667435507,1.1548738664205476,1.064944316539188
AT4G11660,0.20240923021020096,0.33539036821990525,1.3034120542626377,1.2395482152190667
AT5G08750,0.19797535043006131,0.3343126921956197,0.751324890662767,0.6582263441564632
AT5G47220,0.219909395267593,0.34425930125100296,1.2360931232224415,1.1392230158509584
AT1G36060,0.18412996318624103,0.30441951090869546,1.1372958849310562,1.0559090984677058
AT1G74480,0.184286190619027,0.3366050476599905,1.3462256093714364,1.1887886816807636
AT1G47655,0.1818111496180267,0.2951388738427986,1.3505288188740339,1.2510209398237309
AT1G01250,0.19291494102810341,0.3190808898083985,1.1436674237357356,0.9982734608442236
AT4G01500,0.16116902954381035,0.3310895671391728,0.846274199715124,0.7348560946848933
AT5G62020,0.19583773024401213,0.3150930736293152,1.7169542774608424,1.5839241791989915
AT2G32460,0.1626484111728509,0.2994212154927295,0.5359866873165559,0.4513758940539741
AT5G39820,0.1614725952450349,0.3114882142109009,0.9224352050001698,0.8079268996908863
AT5G14960,0.21497067688569935,0.36426725624637646,0.6277085073944653,0.5422176458736017
AT5G06839,0.15596830984147714,0.2913685037781648,1.1047837726581295,1.0080415626315442
AT1G28160,0.21448172428888115,0.3500909449978225,0.7980239351614842,0.6868545348309242
AT4G21030,0.1601187012793195,0.2874590050215423,0.8232959129008549,0.729745970315287
AT5G63090,0.23189861272475992,0.3849830139321858,1.1193514860487805,0.9959133588153721
AT3G26620,0.2061870144541306,0.346866268711174,1.3529150673143335,1.2111054496869231
AT3G20770,0.14107506646135537,0.2748228845345377,1.1198589808070978,0.9987832011973786
AT4G24020,0.18157452691336495,0.32519005768727577,1.1183729880800304,1.011006306937282
AT3G10030,0.1648183437250548,0.2859838388728212,0.8559015026783993,0.7680200471712592
AT3G23220,0.23812489665289388,0.36093582042243166,1.264017023782077,1.1365511422947174
AT3G60530,0.3966076547217617,0.5431467681834117,3.5858942267915968,3.450503513081803
AT5G62470,0.18207290712081617,0.31247939494987287,1.0335469586110144,0.9235688906806708
AT4G16150,0.21885440188203625,0.3604311104167583,1.9823778388585442,1.9248596214651774
AT5G08130,0.20353017962467496,0.37865597394259354,0.7753750231367387,0.6565465820826786
AT5G50670,0.13761869190542061,0.2695210626117148,0.8024842329336368,0.7421966325848931
AT2G31220,0.1977088754978738,0.3332531794416262,1.315160310024533,1.1853763633216254
AT1G53230,0.15108217843039695,0.2927718631544918,1.2842274146855246,1.2565596972435313
AT5G23280,0.1903951194173772,0.3248087791806878,1.273775936543985,1.2546270357730376
AT3G27010,0.18758899939517962,0.31931734421596475,1.3407402749127626,1.3554582713026884
AT1G69690,0.17358486715983842,0.30584241097493137,1.18332965904648,1.1821071974204476
AT2G36010,0.1624838697386673,0.30970468181709493,0.9765221288581918,0.8865538976926783
AT4G18890,0.17851363097942982,0.34257002838806183,0.8567325397140263,0.7381962546956329
AT1G44830,0.20442997164851875,0.32060689318417446,1.2086370082372426,1.0938119164249325
AT2G04038,0.15958488360170775,0.30361527628459134,1.060359167561214,0.9910608453264006
AT5G17800,0.1305822489974756,0.2551524853406313,0.7817301635828081,0.677296297913846
AT4G15090,0.2104807383531898,0.35292033008396645,0.926520333216218,0.8238293019768173
AT1G75080,0.16353637705856405,0.3021592522369235,0.8892207066256647,0.7746184533122329
AT5G65130,0.19667615073408148,0.30977321464151564,1.1928275509774124,1.099130609427255
AT1G43700,0.17568804975467514,0.3099798144802528,1.4448906323289448,1.4881670364103998
AT3G11280,0.15470380204592019,0.29502136144552493,1.3813052330325337,1.2840104713385057
AT5G18450,0.20230447970411886,0.3287825660092345,1.159960832790575,1.0505561136102255
AT5G18270,0.10806941504188412,0.22462271801686193,0.8638173010555111,0.7825449304047544
AT2G01930,0.23357775965946465,0.39011412113680116,0.7738184853343585,0.6536037558097445
AT5G39610,0.09777376344876815,0.20588215930975234,0.7844188451706485,0.7095750101363584
AT1G70920,0.14157229938411847,0.256164759636318,1.1816561886039896,1.1453833331340766
AT1G46768,0.2095801109185029,0.32237978420644153,1.4165667640041184,1.307075694803164
AT3G26790,0.1230467093149244,0.24317929278144215,1.1592086786131863,1.1111489590722559
AT5G25810,0.19903303271932396,0.3272747418075128,1.3967867594931855,1.2605172752115439
AT4G06746,0.18435667839485098,0.2996467676899567,1.394639599875094,1.2726323617101647
